nohup: ignoring input
开始监控进程: /root/shared-nvme/.conda/envs/LocaleXpert_env/bin/python run.py --task At
检查间隔: 300 秒
[2026-06-06 20:56:31] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:01:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:06:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:11:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:16:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:21:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:26:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:31:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:36:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:41:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:46:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:51:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 21:56:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:01:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:06:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:11:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:16:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:21:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:26:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:31:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:36:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:41:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:46:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:51:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 22:56:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:01:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:06:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:11:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:16:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:21:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:26:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:31:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:36:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:41:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:46:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:51:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-06 23:56:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:01:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:06:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:11:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:16:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:21:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:26:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:31:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:36:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:41:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:46:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:51:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 00:56:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:01:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:06:32] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:11:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:16:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:21:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:26:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:31:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:36:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:41:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:46:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:51:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 01:56:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:01:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:06:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:11:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:16:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:21:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:26:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:31:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:36:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:41:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:46:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:51:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 02:56:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:01:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:06:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:11:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:16:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:21:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:26:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:31:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:36:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:41:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:46:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:51:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 03:56:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 04:01:33] 目标进程仍在运行，将在 300 秒后再次检查。
